agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y
0,Infected,child,5,15,H_0,5,15,5,5
1,Infected,adult,5,15,H_0,5,15,0,15
2,Infected,child,5,15,H_0,5,15,5,5
3,Susceptible,adult,5,15,H_0,5,15,16,9
4,Vaccinated,adult,3,18,H_1,3,18,2,7
5,Susceptible,child,3,18,H_1,3,18,5,5
6,Susceptible,adult,3,18,H_1,3,18,8,8
7,Susceptible,adult,3,18,H_1,3,18,0,6
8,Susceptible,adult,3,18,H_2,3,18,11,10
9,Susceptible,adult,3,18,H_2,3,18,5,15
10,Vaccinated,child,3,18,H_2,3,18,15,15
11,Susceptible,adult,3,18,H_2,3,18,0,14
12,Vaccinated,adult,5,7,H_3,5,7,4,13
13,Susceptible,adult,5,7,H_3,5,7,17,13
14,Susceptible,child,5,7,H_3,5,7,5,5
15,Vaccinated,child,5,7,H_3,5,7,15,15
16,Vaccinated,adult,17,19,H_4,17,19,6,9
17,Susceptible,adult,17,19,H_4,17,19,4,5
18,Susceptible,adult,17,19,H_4,17,19,16,10
19,Susceptible,adult,17,19,H_4,17,19,5,16
20,Susceptible,adult,2,5,H_5,2,5,17,17
21,Susceptible,child,2,5,H_5,2,5,15,15
22,Vaccinated,adult,2,5,H_5,2,5,14,13
23,Susceptible,adult,2,5,H_5,2,5,6,19
24,Susceptible,adult,14,17,H_6,14,17,4,13
25,Susceptible,adult,14,17,H_6,14,17,0,10
26,Vaccinated,child,14,17,H_6,14,17,5,5
27,Susceptible,child,14,17,H_6,14,17,15,15
28,Susceptible,adult,16,10,H_7,16,10,0,13
29,Vaccinated,adult,16,10,H_7,16,10,8,6
30,Vaccinated,adult,16,10,H_7,16,10,10,19
31,Susceptible,child,16,10,H_7,16,10,5,5
32,Susceptible,adult,10,7,H_8,10,7,8,12
33,Susceptible,adult,10,7,H_8,10,7,19,17
34,Susceptible,senior,10,7,H_8,10,7,19,0
35,Susceptible,senior,10,7,H_8,10,7,16,2
36,Susceptible,senior,1,4,H_9,1,4,15,5
37,Susceptible,adult,1,4,H_9,1,4,7,14
38,Susceptible,adult,1,4,H_9,1,4,3,2
39,Susceptible,adult,1,4,H_9,1,4,16,14
40,Susceptible,child,17,17,H_10,17,17,15,15
41,Susceptible,adult,17,17,H_10,17,17,10,17
42,Susceptible,adult,17,17,H_10,17,17,5,19
43,Susceptible,adult,17,17,H_10,17,17,3,15
44,Vaccinated,child,0,1,H_11,0,1,5,5
45,Susceptible,adult,0,1,H_11,0,1,9,17
46,Susceptible,child,0,1,H_11,0,1,15,15
47,Vaccinated,adult,0,1,H_11,0,1,0,9
48,Susceptible,adult,15,18,H_12,15,18,11,2
49,Vaccinated,adult,15,18,H_12,15,18,16,9
50,Susceptible,adult,15,18,H_12,15,18,6,13
51,Susceptible,adult,15,18,H_12,15,18,19,3
52,Susceptible,adult,16,3,H_13,16,3,11,0
53,Susceptible,child,16,3,H_13,16,3,15,15
54,Susceptible,adult,16,3,H_13,16,3,10,6
55,Susceptible,adult,16,3,H_13,16,3,11,7
56,Susceptible,senior,10,4,H_14,10,4,14,17
57,Susceptible,child,10,4,H_14,10,4,15,15
58,Susceptible,adult,10,4,H_14,10,4,6,17
59,Vaccinated,child,10,4,H_14,10,4,5,5
60,Susceptible,child,1,15,H_15,1,15,5,5
61,Vaccinated,child,1,15,H_15,1,15,5,5
62,Susceptible,senior,1,15,H_15,1,15,1,19
63,Susceptible,adult,1,15,H_15,1,15,13,17
64,Susceptible,senior,4,6,H_16,4,6,4,2
65,Susceptible,adult,4,6,H_16,4,6,15,12
66,Susceptible,adult,4,6,H_16,4,6,7,6
67,Susceptible,adult,4,6,H_16,4,6,13,3
68,Susceptible,adult,16,6,H_17,16,6,13,12
69,Susceptible,child,16,6,H_17,16,6,5,5
70,Vaccinated,adult,16,6,H_17,16,6,10,16
71,Susceptible,adult,16,6,H_17,16,6,15,5
72,Susceptible,adult,10,13,H_18,10,13,7,9
73,Susceptible,adult,10,13,H_18,10,13,3,8
74,Susceptible,adult,10,13,H_18,10,13,5,10
75,Susceptible,senior,10,13,H_18,10,13,14,12
76,Susceptible,adult,4,16,H_19,4,16,4,10
77,Susceptible,child,4,16,H_19,4,16,15,15
78,Susceptible,adult,4,16,H_19,4,16,13,14
79,Susceptible,child,4,16,H_19,4,16,15,15
80,Susceptible,senior,2,2,H_20,2,2,17,7
81,Susceptible,adult,2,2,H_20,2,2,9,8
82,Susceptible,adult,2,2,H_20,2,2,0,0
83,Susceptible,adult,2,2,H_20,2,2,17,3
84,Susceptible,child,12,5,H_21,12,5,5,5
85,Susceptible,adult,12,5,H_21,12,5,11,18
86,Susceptible,senior,12,5,H_21,12,5,13,17
87,Susceptible,adult,12,5,H_21,12,5,2,8
88,Susceptible,senior,11,8,H_22,11,8,8,1
89,Susceptible,adult,11,8,H_22,11,8,14,1
90,Susceptible,adult,11,8,H_22,11,8,1,0
91,Vaccinated,adult,11,8,H_22,11,8,10,12
92,Vaccinated,adult,10,13,H_23,10,13,10,18
93,Vaccinated,adult,10,13,H_23,10,13,3,13
94,Susceptible,child,10,13,H_23,10,13,5,5
95,Susceptible,senior,10,13,H_23,10,13,18,11
96,Susceptible,child,9,2,H_24,9,2,5,5
97,Vaccinated,adult,9,2,H_24,9,2,19,10
98,Susceptible,adult,9,2,H_24,9,2,19,13
99,Susceptible,child,9,2,H_24,9,2,15,15
