agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y
0,Infected,adult,9,4,H_0,9,4,2,6
1,Infected,adult,9,4,H_0,9,4,8,17
2,Infected,senior,9,4,H_0,9,4,7,17
3,Susceptible,child,9,4,H_0,9,4,15,15
4,Vaccinated,senior,5,7,H_1,5,7,6,7
5,Susceptible,adult,5,7,H_1,5,7,1,6
6,Susceptible,child,5,7,H_1,5,7,5,5
7,Susceptible,adult,5,7,H_1,5,7,4,12
8,Susceptible,adult,4,16,H_2,4,16,7,11
9,Susceptible,adult,4,16,H_2,4,16,12,15
10,Vaccinated,child,4,16,H_2,4,16,5,5
11,Susceptible,adult,4,16,H_2,4,16,18,18
12,Vaccinated,adult,15,17,H_3,15,17,1,16
13,Susceptible,adult,15,17,H_3,15,17,6,7
14,Susceptible,adult,15,17,H_3,15,17,18,4
15,Vaccinated,child,15,17,H_3,15,17,5,5
16,Vaccinated,adult,14,17,H_4,14,17,5,8
17,Susceptible,adult,14,17,H_4,14,17,15,12
18,Susceptible,child,14,17,H_4,14,17,15,15
19,Susceptible,adult,14,17,H_4,14,17,13,11
20,Susceptible,adult,11,14,H_5,11,14,4,1
21,Susceptible,adult,11,14,H_5,11,14,15,14
22,Vaccinated,adult,11,14,H_5,11,14,19,2
23,Susceptible,adult,11,14,H_5,11,14,16,2
24,Susceptible,senior,12,8,H_6,12,8,0,8
25,Susceptible,adult,12,8,H_6,12,8,2,4
26,Vaccinated,adult,12,8,H_6,12,8,17,5
27,Susceptible,child,12,8,H_6,12,8,5,5
28,Susceptible,child,9,6,H_7,9,6,15,15
29,Vaccinated,child,9,6,H_7,9,6,15,15
30,Vaccinated,adult,9,6,H_7,9,6,13,5
31,Susceptible,adult,9,6,H_7,9,6,12,14
32,Susceptible,adult,14,4,H_8,14,4,3,12
33,Susceptible,adult,14,4,H_8,14,4,6,14
34,Susceptible,adult,14,4,H_8,14,4,3,0
35,Susceptible,adult,14,4,H_8,14,4,15,15
36,Susceptible,child,2,5,H_9,2,5,5,5
37,Susceptible,adult,2,5,H_9,2,5,3,6
38,Susceptible,adult,2,5,H_9,2,5,19,17
39,Susceptible,child,2,5,H_9,2,5,15,15
40,Susceptible,adult,14,8,H_10,14,8,5,11
41,Susceptible,child,14,8,H_10,14,8,5,5
42,Susceptible,child,14,8,H_10,14,8,5,5
43,Susceptible,adult,14,8,H_10,14,8,12,17
44,Vaccinated,senior,9,14,H_11,9,14,14,15
45,Susceptible,child,9,14,H_11,9,14,5,5
46,Susceptible,adult,9,14,H_11,9,14,6,17
47,Vaccinated,adult,9,14,H_11,9,14,1,17
48,Susceptible,adult,16,4,H_12,16,4,11,11
49,Vaccinated,adult,16,4,H_12,16,4,10,6
50,Susceptible,child,16,4,H_12,16,4,5,5
51,Susceptible,child,16,4,H_12,16,4,15,15
52,Susceptible,adult,4,13,H_13,4,13,1,2
53,Susceptible,adult,4,13,H_13,4,13,16,2
54,Susceptible,adult,4,13,H_13,4,13,12,5
55,Susceptible,senior,4,13,H_13,4,13,4,4
56,Susceptible,adult,11,5,H_14,11,5,4,3
57,Susceptible,adult,11,5,H_14,11,5,3,13
58,Susceptible,adult,11,5,H_14,11,5,11,2
59,Vaccinated,adult,11,5,H_14,11,5,1,19
60,Susceptible,senior,12,17,H_15,12,17,9,3
61,Vaccinated,senior,12,17,H_15,12,17,6,2
62,Susceptible,adult,12,17,H_15,12,17,2,16
63,Susceptible,adult,12,17,H_15,12,17,14,4
64,Susceptible,adult,14,12,H_16,14,12,6,18
65,Susceptible,child,14,12,H_16,14,12,15,15
66,Susceptible,senior,14,12,H_16,14,12,15,11
67,Susceptible,child,14,12,H_16,14,12,5,5
68,Susceptible,senior,16,7,H_17,16,7,4,7
69,Susceptible,adult,16,7,H_17,16,7,10,4
70,Vaccinated,adult,16,7,H_17,16,7,1,4
71,Susceptible,adult,16,7,H_17,16,7,14,16
72,Susceptible,adult,1,14,H_18,1,14,15,19
73,Susceptible,child,1,14,H_18,1,14,5,5
74,Susceptible,adult,1,14,H_18,1,14,11,6
75,Susceptible,senior,1,14,H_18,1,14,15,7
76,Susceptible,adult,6,12,H_19,6,12,18,15
77,Susceptible,adult,6,12,H_19,6,12,4,0
78,Susceptible,senior,6,12,H_19,6,12,6,4
79,Susceptible,adult,6,12,H_19,6,12,10,17
80,Susceptible,adult,18,4,H_20,18,4,2,8
81,Susceptible,child,18,4,H_20,18,4,5,5
82,Susceptible,adult,18,4,H_20,18,4,1,11
83,Susceptible,adult,18,4,H_20,18,4,1,13
84,Susceptible,senior,15,13,H_21,15,13,14,17
85,Susceptible,adult,15,13,H_21,15,13,11,3
86,Susceptible,adult,15,13,H_21,15,13,18,7
87,Susceptible,adult,15,13,H_21,15,13,16,9
88,Susceptible,adult,8,7,H_22,8,7,3,16
89,Susceptible,senior,8,7,H_22,8,7,10,16
90,Susceptible,senior,8,7,H_22,8,7,2,6
91,Vaccinated,child,8,7,H_22,8,7,15,15
92,Vaccinated,adult,14,6,H_23,14,6,1,4
93,Vaccinated,adult,14,6,H_23,14,6,6,17
94,Susceptible,adult,14,6,H_23,14,6,9,5
95,Susceptible,adult,14,6,H_23,14,6,11,19
96,Susceptible,child,11,16,H_24,11,16,15,15
97,Vaccinated,child,11,16,H_24,11,16,15,15
98,Susceptible,child,11,16,H_24,11,16,5,5
99,Susceptible,adult,11,16,H_24,11,16,15,6
