agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y,current_location_type
0,Infected,adult,18,12,H_0,18,12,2,10,home
1,Infected,child,18,12,H_0,18,12,5,5,home
2,Infected,child,18,12,H_0,18,12,15,15,home
3,Susceptible,adult,18,12,H_0,18,12,14,16,home
4,Vaccinated,adult,3,4,H_1,3,4,3,17,home
5,Susceptible,child,3,4,H_1,3,4,15,15,home
6,Susceptible,adult,3,4,H_1,3,4,4,19,home
7,Susceptible,senior,3,4,H_1,3,4,8,6,home
8,Susceptible,child,13,7,H_2,13,7,5,5,home
9,Susceptible,adult,13,7,H_2,13,7,12,9,home
10,Vaccinated,adult,13,7,H_2,13,7,7,9,home
11,Susceptible,child,13,7,H_2,13,7,15,15,home
12,Vaccinated,child,8,5,H_3,8,5,5,5,home
13,Susceptible,adult,8,5,H_3,8,5,3,14,home
14,Susceptible,child,8,5,H_3,8,5,5,5,home
15,Vaccinated,adult,8,5,H_3,8,5,11,4,home
16,Vaccinated,adult,0,13,H_4,0,13,12,18,home
17,Susceptible,adult,0,13,H_4,0,13,16,5,home
18,Susceptible,child,0,13,H_4,0,13,15,15,home
19,Susceptible,adult,0,13,H_4,0,13,10,9,home
20,Susceptible,adult,9,14,H_5,9,14,2,15,home
21,Susceptible,adult,9,14,H_5,9,14,14,18,home
22,Vaccinated,adult,9,14,H_5,9,14,11,7,home
23,Susceptible,senior,9,14,H_5,9,14,11,3,home
24,Susceptible,adult,1,12,H_6,1,12,19,8,home
25,Susceptible,adult,1,12,H_6,1,12,15,6,home
26,Vaccinated,senior,1,12,H_6,1,12,0,13,home
27,Susceptible,adult,1,12,H_6,1,12,13,9,home
28,Susceptible,senior,8,10,H_7,8,10,9,5,home
29,Vaccinated,adult,8,10,H_7,8,10,9,12,home
30,Vaccinated,adult,8,10,H_7,8,10,11,17,home
31,Susceptible,adult,8,10,H_7,8,10,19,0,home
32,Susceptible,child,5,12,H_8,5,12,15,15,home
33,Susceptible,adult,5,12,H_8,5,12,16,0,home
34,Susceptible,adult,5,12,H_8,5,12,11,17,home
35,Susceptible,adult,5,12,H_8,5,12,3,15,home
36,Susceptible,senior,11,4,H_9,11,4,9,6,home
37,Susceptible,senior,11,4,H_9,11,4,11,11,home
38,Susceptible,child,11,4,H_9,11,4,5,5,home
39,Susceptible,adult,11,4,H_9,11,4,19,8,home
40,Susceptible,adult,9,6,H_10,9,6,13,7,home
41,Susceptible,adult,9,6,H_10,9,6,14,13,home
42,Susceptible,child,9,6,H_10,9,6,5,5,home
43,Susceptible,adult,9,6,H_10,9,6,8,8,home
44,Vaccinated,adult,11,15,H_11,11,15,7,9,home
45,Susceptible,child,11,15,H_11,11,15,5,5,home
46,Susceptible,adult,11,15,H_11,11,15,4,14,home
47,Vaccinated,child,11,15,H_11,11,15,15,15,home
48,Susceptible,adult,16,12,H_12,16,12,4,5,home
49,Vaccinated,adult,16,12,H_12,16,12,5,5,home
50,Susceptible,child,16,12,H_12,16,12,15,15,home
51,Susceptible,senior,16,12,H_12,16,12,6,0,home
52,Susceptible,senior,14,4,H_13,14,4,10,12,home
53,Susceptible,adult,14,4,H_13,14,4,7,5,home
54,Susceptible,child,14,4,H_13,14,4,5,5,home
55,Susceptible,child,14,4,H_13,14,4,5,5,home
56,Susceptible,adult,8,12,H_14,8,12,1,15,home
57,Susceptible,child,8,12,H_14,8,12,5,5,home
58,Susceptible,senior,8,12,H_14,8,12,4,9,home
59,Vaccinated,adult,8,12,H_14,8,12,14,8,home
60,Susceptible,adult,17,4,H_15,17,4,1,15,home
61,Vaccinated,adult,17,4,H_15,17,4,1,16,home
62,Susceptible,adult,17,4,H_15,17,4,11,2,home
63,Susceptible,child,17,4,H_15,17,4,5,5,home
64,Susceptible,senior,2,12,H_16,2,12,16,6,home
65,Susceptible,adult,2,12,H_16,2,12,14,2,home
66,Susceptible,adult,2,12,H_16,2,12,7,17,home
