agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y
0,Infected,child,16,17,H_0,16,17,5,5
1,Infected,child,16,17,H_0,16,17,15,15
2,Infected,child,16,17,H_0,16,17,5,5
3,Susceptible,adult,16,17,H_0,16,17,19,1
4,Vaccinated,adult,0,13,H_1,0,13,3,16
5,Susceptible,adult,0,13,H_1,0,13,7,7
6,Susceptible,child,0,13,H_1,0,13,5,5
7,Susceptible,adult,0,13,H_1,0,13,8,11
8,Susceptible,adult,8,0,H_2,8,0,4,14
9,Susceptible,adult,8,0,H_2,8,0,5,11
10,Vaccinated,adult,8,0,H_2,8,0,2,15
11,Susceptible,child,8,0,H_2,8,0,5,5
12,Vaccinated,senior,5,4,H_3,5,4,19,0
13,Susceptible,adult,5,4,H_3,5,4,5,13
14,Susceptible,adult,5,4,H_3,5,4,17,6
15,Vaccinated,child,5,4,H_3,5,4,5,5
16,Vaccinated,child,12,2,H_4,12,2,15,15
17,Susceptible,child,12,2,H_4,12,2,5,5
18,Susceptible,child,12,2,H_4,12,2,5,5
19,Susceptible,adult,12,2,H_4,12,2,13,1
20,Susceptible,adult,1,17,H_5,1,17,18,16
21,Susceptible,child,1,17,H_5,1,17,15,15
22,Vaccinated,adult,1,17,H_5,1,17,10,2
23,Susceptible,child,1,17,H_5,1,17,5,5
24,Susceptible,adult,19,19,H_6,19,19,11,1
25,Susceptible,child,19,19,H_6,19,19,5,5
26,Vaccinated,child,19,19,H_6,19,19,15,15
27,Susceptible,adult,19,19,H_6,19,19,15,10
28,Susceptible,adult,1,1,H_7,1,1,6,1
29,Vaccinated,adult,1,1,H_7,1,1,14,4
30,Vaccinated,adult,1,1,H_7,1,1,6,11
31,Susceptible,child,1,1,H_7,1,1,5,5
32,Susceptible,adult,14,18,H_8,14,18,1,13
33,Susceptible,child,14,18,H_8,14,18,5,5
34,Susceptible,child,14,18,H_8,14,18,15,15
35,Susceptible,adult,14,18,H_8,14,18,8,14
36,Susceptible,senior,0,0,H_9,0,0,17,11
37,Susceptible,child,0,0,H_9,0,0,5,5
38,Susceptible,child,0,0,H_9,0,0,15,15
39,Susceptible,child,0,0,H_9,0,0,5,5
40,Susceptible,adult,9,18,H_10,9,18,12,13
41,Susceptible,adult,9,18,H_10,9,18,16,4
42,Susceptible,child,9,18,H_10,9,18,5,5
43,Susceptible,adult,9,18,H_10,9,18,14,14
44,Vaccinated,adult,17,11,H_11,17,11,3,13
45,Susceptible,child,17,11,H_11,17,11,5,5
46,Susceptible,senior,17,11,H_11,17,11,18,9
47,Vaccinated,child,17,11,H_11,17,11,15,15
48,Susceptible,adult,11,6,H_12,11,6,3,8
49,Vaccinated,adult,11,6,H_12,11,6,11,15
50,Susceptible,senior,11,6,H_12,11,6,6,19
51,Susceptible,adult,11,6,H_12,11,6,8,4
52,Susceptible,child,19,14,H_13,19,14,15,15
53,Susceptible,adult,19,14,H_13,19,14,7,16
54,Susceptible,child,19,14,H_13,19,14,5,5
55,Susceptible,adult,19,14,H_13,19,14,10,12
56,Susceptible,senior,2,6,H_14,2,6,8,19
57,Susceptible,adult,2,6,H_14,2,6,16,4
58,Susceptible,child,2,6,H_14,2,6,15,15
59,Vaccinated,adult,2,6,H_14,2,6,19,1
60,Susceptible,child,11,8,H_15,11,8,5,5
61,Vaccinated,child,11,8,H_15,11,8,15,15
62,Susceptible,adult,11,8,H_15,11,8,6,2
63,Susceptible,adult,11,8,H_15,11,8,4,4
64,Susceptible,child,18,1,H_16,18,1,15,15
65,Susceptible,adult,18,1,H_16,18,1,9,5
66,Susceptible,senior,18,1,H_16,18,1,18,7
67,Susceptible,child,18,1,H_16,18,1,5,5
68,Susceptible,child,15,16,H_17,15,16,15,15
69,Susceptible,adult,15,16,H_17,15,16,19,0
70,Vaccinated,adult,15,16,H_17,15,16,3,6
71,Susceptible,child,15,16,H_17,15,16,5,5
72,Susceptible,adult,12,7,H_18,12,7,19,13
73,Susceptible,adult,12,7,H_18,12,7,5,3
74,Susceptible,senior,12,7,H_18,12,7,4,17
75,Susceptible,child,12,7,H_18,12,7,15,15
76,Susceptible,child,13,19,H_19,13,19,5,5
77,Susceptible,adult,13,19,H_19,13,19,5,18
78,Susceptible,adult,13,19,H_19,13,19,3,12
79,Susceptible,adult,13,19,H_19,13,19,12,11
80,Susceptible,adult,16,18,H_20,16,18,15,19
81,Susceptible,adult,16,18,H_20,16,18,3,3
82,Susceptible,adult,16,18,H_20,16,18,9,12
83,Susceptible,adult,16,18,H_20,16,18,12,17
84,Susceptible,adult,10,10,H_21,10,10,10,17
85,Susceptible,adult,10,10,H_21,10,10,16,14
86,Susceptible,adult,10,10,H_21,10,10,8,16
87,Susceptible,child,10,10,H_21,10,10,5,5
88,Susceptible,adult,7,8,H_22,7,8,6,5
89,Susceptible,adult,7,8,H_22,7,8,9,15
90,Susceptible,child,7,8,H_22,7,8,15,15
91,Vaccinated,child,7,8,H_22,7,8,5,5
92,Vaccinated,adult,14,4,H_23,14,4,11,1
93,Vaccinated,adult,14,4,H_23,14,4,0,9
94,Susceptible,adult,14,4,H_23,14,4,19,12
95,Susceptible,adult,14,4,H_23,14,4,16,16
96,Susceptible,child,10,18,H_24,10,18,15,15
97,Vaccinated,adult,10,18,H_24,10,18,16,9
98,Susceptible,child,10,18,H_24,10,18,5,5
99,Susceptible,senior,10,18,H_24,10,18,3,6
