agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y,current_location_type
0,Infected,senior,5,16,H_0,5,16,16,16,home
1,Infected,adult,5,16,H_0,5,16,3,14,home
2,Infected,adult,5,16,H_0,5,16,13,17,home
3,Susceptible,child,5,16,H_0,5,16,15,15,home
4,Vaccinated,adult,1,0,H_1,1,0,2,7,home
5,Susceptible,adult,1,0,H_1,1,0,4,18,home
6,Susceptible,adult,1,0,H_1,1,0,14,6,home
7,Susceptible,adult,1,0,H_1,1,0,1,2,home
8,Susceptible,adult,9,4,H_2,9,4,18,11,home
9,Susceptible,adult,9,4,H_2,9,4,3,14,home
10,Vaccinated,senior,9,4,H_2,9,4,7,3,home
11,Susceptible,adult,9,4,H_2,9,4,0,14,home
12,Vaccinated,adult,4,3,H_3,4,3,15,15,home
13,Susceptible,adult,4,3,H_3,4,3,2,5,home
14,Susceptible,adult,4,3,H_3,4,3,6,18,home
15,Vaccinated,child,4,3,H_3,4,3,5,5,home
16,Vaccinated,child,12,14,H_4,12,14,15,15,home
17,Susceptible,child,12,14,H_4,12,14,5,5,home
18,Susceptible,senior,12,14,H_4,12,14,1,16,home
19,Susceptible,adult,12,14,H_4,12,14,8,10,home
20,Susceptible,adult,11,12,H_5,11,12,13,19,home
21,Susceptible,adult,11,12,H_5,11,12,17,2,home
22,Vaccinated,adult,11,12,H_5,11,12,4,5,home
23,Susceptible,senior,11,12,H_5,11,12,6,12,home
24,Susceptible,child,15,9,H_6,15,9,5,5,home
25,Susceptible,senior,15,9,H_6,15,9,0,14,home
26,Vaccinated,adult,15,9,H_6,15,9,13,9,home
27,Susceptible,adult,15,9,H_6,15,9,7,9,home
28,Susceptible,child,8,8,H_7,8,8,15,15,home
29,Vaccinated,adult,8,8,H_7,8,8,17,1,home
30,Vaccinated,child,8,8,H_7,8,8,5,5,home
31,Susceptible,senior,8,8,H_7,8,8,5,10,home
32,Susceptible,child,13,18,H_8,13,18,15,15,home
33,Susceptible,adult,13,18,H_8,13,18,12,14,home
34,Susceptible,child,13,18,H_8,13,18,15,15,home
35,Susceptible,adult,13,18,H_8,13,18,11,14,home
36,Susceptible,adult,16,2,H_9,16,2,18,13,home
37,Susceptible,senior,16,2,H_9,16,2,4,16,home
38,Susceptible,senior,16,2,H_9,16,2,1,18,home
39,Susceptible,adult,16,2,H_9,16,2,7,8,home
40,Susceptible,senior,1,9,H_10,1,9,1,11,home
41,Susceptible,adult,1,9,H_10,1,9,14,9,home
42,Susceptible,child,1,9,H_10,1,9,5,5,home
43,Susceptible,adult,1,9,H_10,1,9,3,10,home
44,Vaccinated,adult,10,16,H_11,10,16,17,18,home
45,Susceptible,child,10,16,H_11,10,16,15,15,home
46,Susceptible,child,10,16,H_11,10,16,5,5,home
47,Vaccinated,senior,10,16,H_11,10,16,13,5,home
48,Susceptible,adult,17,9,H_12,17,9,5,8,home
49,Vaccinated,child,17,9,H_12,17,9,15,15,home
50,Susceptible,child,17,9,H_12,17,9,15,15,home
51,Susceptible,senior,17,9,H_12,17,9,14,4,home
52,Susceptible,adult,16,7,H_13,16,7,19,12,home
53,Susceptible,adult,16,7,H_13,16,7,13,15,home
54,Susceptible,senior,16,7,H_13,16,7,10,6,home
55,Susceptible,child,16,7,H_13,16,7,15,15,home
56,Susceptible,adult,10,5,H_14,10,5,1,18,home
57,Susceptible,child,10,5,H_14,10,5,15,15,home
58,Susceptible,child,10,5,H_14,10,5,15,15,home
59,Vaccinated,adult,10,5,H_14,10,5,7,10,home
60,Susceptible,child,8,13,H_15,8,13,5,5,home
61,Vaccinated,adult,8,13,H_15,8,13,17,4,home
62,Susceptible,child,8,13,H_15,8,13,5,5,home
63,Susceptible,child,8,13,H_15,8,13,15,15,home
64,Susceptible,senior,9,1,H_16,9,1,10,6,home
65,Susceptible,adult,9,1,H_16,9,1,13,15,home
66,Susceptible,adult,9,1,H_16,9,1,17,6,home
67,Susceptible,adult,9,1,H_16,9,1,18,3,home
68,Susceptible,adult,11,10,H_17,11,10,0,17,home
69,Susceptible,adult,11,10,H_17,11,10,3,6,home
70,Vaccinated,senior,11,10,H_17,11,10,2,10,home
71,Susceptible,senior,11,10,H_17,11,10,1,2,home
72,Susceptible,adult,3,18,H_18,3,18,17,14,home
73,Susceptible,child,3,18,H_18,3,18,15,15,home
74,Susceptible,adult,3,18,H_18,3,18,4,8,home
75,Susceptible,senior,3,18,H_18,3,18,16,3,home
76,Susceptible,senior,15,4,H_19,15,4,11,5,home
77,Susceptible,adult,15,4,H_19,15,4,5,5,home
78,Susceptible,child,15,4,H_19,15,4,5,5,home
79,Susceptible,adult,15,4,H_19,15,4,9,17,home
80,Susceptible,senior,1,12,H_20,1,12,9,3,home
81,Susceptible,adult,1,12,H_20,1,12,6,16,home
82,Susceptible,adult,1,12,H_20,1,12,18,3,home
83,Susceptible,senior,1,12,H_20,1,12,5,16,home
84,Susceptible,adult,14,5,H_21,14,5,3,10,home
85,Susceptible,adult,14,5,H_21,14,5,6,16,home
86,Susceptible,child,14,5,H_21,14,5,15,15,home
87,Susceptible,adult,14,5,H_21,14,5,16,8,home
88,Susceptible,adult,11,11,H_22,11,11,14,6,home
89,Susceptible,child,11,11,H_22,11,11,15,15,home
90,Susceptible,senior,11,11,H_22,11,11,5,8,home
91,Vaccinated,senior,11,11,H_22,11,11,6,19,home
92,Vaccinated,adult,15,11,H_23,15,11,5,0,home
93,Vaccinated,child,15,11,H_23,15,11,5,5,home
94,Susceptible,senior,15,11,H_23,15,11,11,12,home
95,Susceptible,adult,15,11,H_23,15,11,5,17,home
96,Susceptible,adult,9,7,H_24,9,7,13,6,home
97,Vaccinated,adult,9,7,H_24,9,7,2,15,home
98,Susceptible,adult,9,7,H_24,9,7,17,12,home
99,Susceptible,child,9,7,H_24,9,7,5,5,home
