agent_id,state,age_group,x,y,household_id,current_location_type,home_x,home_y,work_x,work_y
377,Susceptible,senior,14,27,H_125,home,14,27,16,57
132,Susceptible,senior,73,12,H_44,home,73,12,71,71
491,Susceptible,adult,60,19,H_163,home,60,19,33,68
1914,Susceptible,adult,53,12,H_638,home,53,12,68,50
960,Susceptible,senior,74,22,H_320,home,74,22,26,28
4856,Susceptible,adult,71,52,H_1618,home,71,52,66,83
2424,Susceptible,child,72,56,H_808,home,72,56,45,45
3393,Susceptible,adult,48,70,H_1131,home,48,70,29,52
3073,Susceptible,adult,56,22,H_1024,home,56,22,43,84
1176,Susceptible,adult,65,47,H_392,home,65,47,44,68
163,Susceptible,adult,53,50,H_54,home,53,50,83,16
3304,Susceptible,adult,53,79,H_1101,home,53,79,62,60
1543,Susceptible,adult,59,41,H_514,home,59,41,7,38
820,Susceptible,senior,57,43,H_273,home,57,43,84,88
2169,Susceptible,child,41,22,H_723,home,41,22,25,25
3242,Susceptible,child,4,8,H_1080,home,4,8,75,20
3166,Susceptible,adult,30,47,H_1055,home,30,47,70,0
3122,Susceptible,senior,80,60,H_1040,home,80,60,51,67
267,Susceptible,adult,36,16,H_89,home,36,16,85,40
1560,Susceptible,child,20,71,H_520,home,20,71,45,45
395,Recovered,child,32,63,H_131,home,32,63,45,45
3743,Susceptible,adult,5,40,H_1247,home,5,40,16,75
972,Susceptible,adult,77,68,H_324,home,77,68,89,30
4551,Susceptible,child,34,79,H_1517,home,34,79,65,65
445,Susceptible,senior,19,68,H_148,home,19,68,20,51
198,Susceptible,adult,38,20,H_66,home,38,20,88,84
4595,Susceptible,adult,26,18,H_1531,home,26,18,28,27
2384,Susceptible,adult,67,49,H_794,home,67,49,14,46
1790,Susceptible,senior,3,66,H_596,home,3,66,58,33
4573,Susceptible,adult,84,67,H_1524,home,84,67,86,59
867,Susceptible,adult,56,79,H_289,home,56,79,15,2
3096,Susceptible,adult,52,1,H_1032,home,52,1,22,46
3191,Susceptible,child,83,12,H_1063,home,83,12,25,25
1738,Susceptible,senior,41,46,H_579,home,41,46,72,82
4088,Susceptible,adult,48,7,H_1362,home,48,7,35,33
3132,Susceptible,child,29,13,H_1044,home,29,13,75,20
3046,Susceptible,adult,16,17,H_1015,home,16,17,25,3
4790,Susceptible,adult,38,67,H_1596,home,38,67,25,0
3674,Susceptible,adult,85,36,H_1224,home,85,36,26,88
4711,Susceptible,adult,37,40,H_1570,home,37,40,60,57
1480,Susceptible,adult,63,70,H_493,home,63,70,84,56
1017,Susceptible,senior,79,31,H_339,home,79,31,72,39
955,Susceptible,adult,57,9,H_318,home,57,9,5,75
