agent_id,state,age_group,x,y,household_id,current_location_type,home_x,home_y,work_x,work_y
1394,Susceptible,adult,67,67,H_464,work,57,13,67,67
1793,Recovered,child,75,20,H_597,school,33,84,75,20
852,Vaccinated,senior,53,30,H_284,work,16,58,53,30
3660,Susceptible,adult,37,45,H_1220,work,62,53,37,45
160,Vaccinated,adult,74,41,H_53,work,25,42,74,41
173,Susceptible,adult,10,87,H_57,work,28,63,10,87
382,Recovered,child,45,45,H_127,school,68,5,45,45
4929,Recovered,senior,8,89,H_1643,work,19,43,8,89
1660,Recovered,child,25,25,H_553,school,84,24,25,25
1284,Recovered,child,25,25,H_428,school,34,5,25,25
3560,Vaccinated,adult,71,30,H_1186,work,24,87,71,30
2964,Recovered,senior,48,8,H_988,work,26,3,48,8
4729,Susceptible,adult,61,77,H_1576,work,20,88,61,77
451,Vaccinated,adult,27,63,H_150,work,88,52,27,63
4781,Susceptible,adult,16,17,H_1593,work,48,15,16,17
4457,Susceptible,adult,26,6,H_1485,work,61,12,26,6
3587,Vaccinated,adult,45,69,H_1195,work,19,88,45,69
4021,Recovered,adult,71,41,H_1340,work,80,78,71,41
199,Susceptible,senior,77,20,H_66,home,77,20,13,34
1589,Recovered,child,10,10,H_529,school,46,8,10,10
959,Recovered,adult,54,59,H_319,work,25,1,54,59
340,Recovered,child,45,45,H_113,school,68,85,45,45
2521,Susceptible,senior,18,0,H_840,home,18,0,88,38
2329,Susceptible,adult,57,8,H_776,work,54,50,57,8
3179,Vaccinated,adult,52,49,H_1059,work,89,68,52,49
23,Susceptible,adult,12,25,H_7,work,39,83,12,25
2854,Susceptible,adult,23,81,H_951,work,3,33,23,81
2333,Vaccinated,adult,23,60,H_777,work,77,61,23,60
1760,Vaccinated,adult,23,45,H_586,work,8,68,23,45
2151,Vaccinated,adult,80,64,H_717,work,85,64,80,64
2899,Vaccinated,adult,48,2,H_966,work,27,14,48,2
3859,Susceptible,senior,48,70,H_1286,work,31,13,48,70
965,Susceptible,adult,5,44,H_321,work,6,57,5,44
2952,Recovered,child,10,10,H_984,school,58,80,10,10
1508,Susceptible,adult,5,27,H_502,work,15,26,5,27
1908,Vaccinated,adult,50,52,H_636,work,19,22,50,52
3473,Susceptible,senior,48,31,H_1157,home,48,31,20,20
4189,Susceptible,adult,49,65,H_1396,work,64,47,49,65
1620,Vaccinated,adult,86,78,H_540,work,62,74,86,78
4842,Recovered,child,45,45,H_1614,school,79,34,45,45
4344,Vaccinated,senior,34,32,H_1448,work,47,61,34,32
2689,Susceptible,adult,0,39,H_896,work,21,81,0,39
2942,Vaccinated,adult,69,19,H_980,work,46,24,69,19
3548,Recovered,child,65,65,H_1182,school,33,68,65,65
3960,Vaccinated,adult,0,35,H_1320,work,77,57,0,35
4498,Vaccinated,adult,63,16,H_1499,work,23,23,63,16
3101,Recovered,child,65,65,H_1033,school,45,87,65,65
2816,Recovered,child,45,45,H_938,school,71,30,45,45
2579,Recovered,child,65,65,H_859,school,7,38,65,65
290,Recovered,child,65,65,H_96,school,6,51,65,65
2365,Vaccinated,adult,58,18,H_788,work,18,75,58,18
1042,Recovered,child,65,65,H_347,school,67,60,65,65
2373,Susceptible,adult,38,54,H_791,work,34,23,38,54
1313,Susceptible,adult,85,60,H_437,work,25,88,85,60
877,Susceptible,adult,61,18,H_292,work,43,30,61,18
3243,Susceptible,adult,2,6,H_1081,work,2,80,2,6
1242,Recovered,child,25,25,H_414,school,74,66,25,25
1085,Vaccinated,adult,15,56,H_361,work,19,84,15,56
4324,Recovered,adult,9,26,H_1441,work,39,51,9,26
759,Susceptible,adult,17,65,H_253,work,52,55,17,65
2104,Recovered,adult,76,28,H_701,work,67,64,76,28
3078,Vaccinated,senior,42,5,H_1026,home,42,5,14,43
302,Recovered,adult,31,63,H_100,work,31,48,31,63
4055,Vaccinated,adult,68,48,H_1351,work,82,82,68,48
4863,Recovered,adult,40,51,H_1621,work,12,87,40,51
1416,Recovered,adult,81,5,H_472,work,6,64,81,5
873,Susceptible,adult,18,45,H_291,work,0,87,18,45
2184,Susceptible,adult,78,50,H_728,work,80,77,78,50
1079,Vaccinated,senior,72,89,H_359,work,60,63,72,89
53,Susceptible,adult,23,48,H_17,work,45,40,23,48
4153,Vaccinated,adult,88,3,H_1384,work,62,15,88,3
1694,Susceptible,adult,79,45,H_564,work,34,52,79,45
3906,Vaccinated,adult,63,26,H_1302,work,63,54,63,26
2009,Susceptible,adult,42,85,H_669,work,11,75,42,85
4909,Vaccinated,senior,69,8,H_1636,home,69,8,64,62
4670,Susceptible,adult,38,40,H_1556,work,80,16,38,40
904,Vaccinated,adult,8,20,H_301,work,48,10,8,20
