agent_id,state,age_group,x,y,household_id,current_location_type,home_x,home_y,work_x,work_y
1974,Susceptible,adult,6,86,H_658,home,6,86,23,76
1551,Susceptible,adult,22,2,H_517,home,22,2,52,30
2679,Susceptible,adult,72,18,H_893,home,72,18,3,52
902,Susceptible,adult,50,85,H_300,home,50,85,56,58
1480,Susceptible,adult,58,83,H_493,home,58,83,74,13
4418,Recovered,child,11,80,H_1472,home,11,80,45,45
3594,Vaccinated,adult,76,62,H_1198,home,76,62,19,54
2538,Vaccinated,child,38,58,H_846,home,38,58,10,10
1274,Vaccinated,adult,31,70,H_424,home,31,70,4,44
1986,Vaccinated,adult,43,23,H_662,home,43,23,82,53
2435,Susceptible,child,88,21,H_811,home,88,21,25,25
3364,Vaccinated,child,7,17,H_1121,home,7,17,25,25
4174,Vaccinated,adult,80,59,H_1391,home,80,59,69,85
2528,Susceptible,child,85,84,H_842,home,85,84,25,25
4406,Susceptible,senior,81,17,H_1468,home,81,17,37,45
126,Vaccinated,child,87,81,H_42,home,87,81,65,65
2960,Vaccinated,senior,82,30,H_986,home,82,30,69,89
1238,Vaccinated,adult,28,63,H_412,home,28,63,57,74
3296,Vaccinated,child,50,2,H_1098,home,50,2,75,20
3432,Vaccinated,adult,22,37,H_1144,home,22,37,5,63
3365,Vaccinated,adult,7,17,H_1121,home,7,17,4,7
4438,Susceptible,adult,82,42,H_1479,home,82,42,35,73
4862,Susceptible,adult,1,64,H_1620,home,1,64,79,26
3300,Vaccinated,adult,45,13,H_1100,home,45,13,48,65
2751,Recovered,senior,89,6,H_917,home,89,6,87,46
1104,Susceptible,adult,89,34,H_368,home,89,34,76,82
4148,Susceptible,adult,41,12,H_1382,home,41,12,32,55
3208,Susceptible,senior,47,17,H_1069,home,47,17,60,8
4104,Vaccinated,adult,59,54,H_1368,home,59,54,46,11
510,Vaccinated,senior,42,53,H_170,home,42,53,5,26
4355,Recovered,child,75,13,H_1451,home,75,13,25,25
4857,Susceptible,adult,75,2,H_1619,home,75,2,45,12
392,Susceptible,adult,5,57,H_130,home,5,57,37,2
617,Recovered,child,62,12,H_205,home,62,12,75,20
4272,Susceptible,child,8,76,H_1424,home,8,76,25,25
1397,Recovered,adult,26,28,H_465,home,26,28,8,65
4110,Vaccinated,adult,89,10,H_1370,home,89,10,76,39
1881,Vaccinated,adult,36,33,H_627,home,36,33,87,13
3426,Vaccinated,adult,89,24,H_1142,home,89,24,21,20
3287,Susceptible,senior,47,86,H_1095,home,47,86,61,51
2180,Vaccinated,adult,41,20,H_726,home,41,20,38,77
4643,Susceptible,child,11,13,H_1547,home,11,13,25,25
3008,Vaccinated,senior,2,86,H_1002,home,2,86,69,17
3883,Susceptible,adult,9,63,H_1294,home,9,63,59,29
1814,Vaccinated,child,89,43,H_604,home,89,43,45,45
3633,Susceptible,adult,15,21,H_1211,home,15,21,85,55
1827,Susceptible,adult,25,24,H_609,home,25,24,77,67
868,Susceptible,child,40,67,H_289,home,40,67,45,45
3799,Susceptible,senior,60,14,H_1266,home,60,14,89,27
4223,Susceptible,adult,68,48,H_1407,home,68,48,65,88
1818,Susceptible,adult,25,63,H_606,home,25,63,73,68
1853,Susceptible,child,71,72,H_617,home,71,72,10,10
4610,Susceptible,adult,24,36,H_1536,home,24,36,8,65
2090,Susceptible,adult,0,72,H_696,home,0,72,1,81
2214,Vaccinated,adult,3,22,H_738,home,3,22,14,42
1355,Susceptible,adult,64,55,H_451,home,64,55,44,44
889,Susceptible,adult,29,49,H_296,home,29,49,59,10
2218,Recovered,child,49,81,H_739,home,49,81,65,65
3969,Susceptible,adult,20,83,H_1323,home,20,83,52,53
4393,Susceptible,senior,25,5,H_1464,home,25,5,23,40
1027,Susceptible,child,30,22,H_342,home,30,22,25,25
3266,Recovered,child,7,46,H_1088,home,7,46,75,20
90,Susceptible,adult,36,73,H_30,home,36,73,39,2
2221,Vaccinated,adult,61,15,H_740,home,61,15,22,58
3288,Susceptible,child,12,73,H_1096,home,12,73,25,25
2507,Susceptible,adult,70,28,H_835,home,70,28,84,64
105,Susceptible,senior,42,60,H_35,home,42,60,71,2
2039,Susceptible,adult,58,81,H_679,home,58,81,56,20
