agent_id,state,age_group,x,y,household_id,current_location_type,home_x,home_y,work_x,work_y
4122,Vaccinated,adult,84,48,H_1374,work,83,11,84,48
2659,Vaccinated,adult,26,73,H_886,work,54,9,26,73
4980,Vaccinated,adult,81,14,H_1660,work,0,55,81,14
1843,Vaccinated,adult,68,64,H_614,work,73,66,68,64
2737,Susceptible,adult,55,81,H_912,work,47,30,55,81
997,Vaccinated,adult,20,74,H_332,work,22,73,20,74
4382,Vaccinated,adult,86,52,H_1460,work,10,71,86,52
3339,Susceptible,child,10,10,H_1113,school,37,77,10,10
4151,Susceptible,senior,8,21,H_1383,home,8,21,22,55
4832,Susceptible,senior,37,78,H_1610,home,37,78,60,83
828,Susceptible,adult,45,70,H_276,work,43,69,45,70
3184,Susceptible,adult,64,53,H_1061,work,16,18,64,53
1243,Vaccinated,child,10,10,H_414,school,78,59,10,10
271,Susceptible,senior,80,15,H_90,work,14,40,80,15
2986,Vaccinated,adult,83,67,H_995,work,45,10,83,67
4590,Susceptible,adult,53,87,H_1530,work,1,55,53,87
854,Susceptible,senior,47,17,H_284,home,47,17,43,28
4190,Susceptible,adult,29,7,H_1396,work,65,4,29,7
939,Susceptible,adult,43,30,H_313,work,34,68,43,30
826,Susceptible,adult,17,71,H_275,work,84,55,17,71
802,Recovered,child,45,45,H_267,school,83,3,45,45
2957,Susceptible,adult,48,3,H_985,work,59,54,48,3
1765,Vaccinated,adult,52,22,H_588,work,26,64,52,22
944,Susceptible,child,65,65,H_314,school,44,58,65,65
1661,Susceptible,adult,49,41,H_553,work,43,70,49,41
1686,Susceptible,senior,53,55,H_562,home,53,55,58,18
2620,Susceptible,adult,42,76,H_873,work,42,32,42,76
765,Susceptible,adult,33,10,H_255,work,20,1,33,10
4186,Vaccinated,adult,19,68,H_1395,work,63,78,19,68
412,Susceptible,senior,48,59,H_137,work,79,3,48,59
938,Vaccinated,child,45,45,H_312,school,77,16,45,45
2469,Vaccinated,adult,27,72,H_823,work,64,43,27,72
4486,Susceptible,adult,40,19,H_1495,work,56,16,40,19
2410,Susceptible,adult,82,87,H_803,work,39,51,82,87
2727,Susceptible,adult,54,71,H_909,work,56,75,54,71
1566,Recovered,child,45,45,H_522,school,51,87,45,45
805,Susceptible,adult,36,68,H_268,work,66,0,36,68
4807,Susceptible,adult,39,6,H_1602,work,44,13,39,6
1940,Vaccinated,senior,83,66,H_646,home,83,66,24,18
581,Recovered,adult,56,80,H_193,work,47,74,56,80
3434,Susceptible,senior,50,60,H_1144,home,50,60,21,11
3185,Susceptible,adult,72,73,H_1061,work,16,18,72,73
2887,Susceptible,adult,87,43,H_962,work,30,4,87,43
1136,Susceptible,child,65,65,H_378,school,4,52,65,65
3737,Susceptible,adult,34,22,H_1245,work,53,72,34,22
3960,Susceptible,child,45,45,H_1320,school,82,23,45,45
4350,Susceptible,senior,66,60,H_1450,home,66,60,7,55
1264,Susceptible,senior,84,72,H_421,work,42,67,84,72
3820,Susceptible,senior,47,36,H_1273,work,47,32,47,36
3107,Vaccinated,adult,48,33,H_1035,work,51,85,48,33
250,Susceptible,senior,3,66,H_83,home,3,66,61,65
1064,Susceptible,adult,83,22,H_354,work,31,77,83,22
