agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y,current_location_type
0,Infected,adult,18,7,H_0,18,7,18,8,home
1,Infected,adult,18,7,H_0,18,7,3,0,home
2,Infected,senior,18,7,H_0,18,7,16,11,home
3,Susceptible,child,18,7,H_0,18,7,5,5,home
4,Vaccinated,child,8,3,H_1,8,3,5,5,home
5,Susceptible,child,8,3,H_1,8,3,15,15,home
6,Susceptible,adult,8,3,H_1,8,3,9,13,home
7,Susceptible,adult,8,3,H_1,8,3,12,6,home
8,Susceptible,adult,18,11,H_2,18,11,6,14,home
9,Susceptible,adult,18,11,H_2,18,11,15,19,home
10,Vaccinated,adult,18,11,H_2,18,11,13,12,home
11,Susceptible,child,18,11,H_2,18,11,5,5,home
12,Vaccinated,child,10,8,H_3,10,8,15,15,home
13,Susceptible,child,10,8,H_3,10,8,15,15,home
14,Susceptible,adult,10,8,H_3,10,8,3,19,home
15,Vaccinated,adult,10,8,H_3,10,8,0,1,home
16,Vaccinated,adult,5,16,H_4,5,16,17,18,home
17,Susceptible,child,5,16,H_4,5,16,15,15,home
18,Susceptible,adult,5,16,H_4,5,16,1,2,home
19,Susceptible,adult,5,16,H_4,5,16,17,18,home
20,Susceptible,adult,5,1,H_5,5,1,3,1,home
21,Susceptible,adult,5,1,H_5,5,1,6,14,home
22,Vaccinated,adult,5,1,H_5,5,1,2,11,home
23,Susceptible,adult,5,1,H_5,5,1,5,10,home
24,Susceptible,adult,17,2,H_6,17,2,14,5,home
25,Susceptible,adult,17,2,H_6,17,2,14,3,home
26,Vaccinated,child,17,2,H_6,17,2,15,15,home
27,Susceptible,adult,17,2,H_6,17,2,13,19,home
28,Susceptible,adult,6,10,H_7,6,10,5,16,home
29,Vaccinated,senior,6,10,H_7,6,10,4,12,home
30,Vaccinated,senior,6,10,H_7,6,10,15,12,home
31,Susceptible,adult,6,10,H_7,6,10,2,18,home
32,Susceptible,senior,3,16,H_8,3,16,14,12,home
33,Susceptible,adult,3,16,H_8,3,16,3,13,home
34,Susceptible,child,3,16,H_8,3,16,15,15,home
35,Susceptible,adult,3,16,H_8,3,16,15,19,home
36,Susceptible,child,0,16,H_9,0,16,5,5,home
37,Susceptible,child,0,16,H_9,0,16,5,5,home
38,Susceptible,child,0,16,H_9,0,16,5,5,home
39,Susceptible,child,0,16,H_9,0,16,15,15,home
40,Susceptible,child,6,9,H_10,6,9,15,15,home
41,Susceptible,child,6,9,H_10,6,9,15,15,home
42,Susceptible,adult,6,9,H_10,6,9,2,18,home
43,Susceptible,senior,6,9,H_10,6,9,8,3,home
44,Vaccinated,child,9,2,H_11,9,2,15,15,home
45,Susceptible,child,9,2,H_11,9,2,5,5,home
46,Susceptible,adult,9,2,H_11,9,2,4,8,home
47,Vaccinated,child,9,2,H_11,9,2,15,15,home
48,Susceptible,adult,18,4,H_12,18,4,11,13,home
49,Vaccinated,adult,18,4,H_12,18,4,19,4,home
50,Susceptible,adult,18,4,H_12,18,4,2,14,home
51,Susceptible,child,18,4,H_12,18,4,15,15,home
52,Susceptible,adult,7,10,H_13,7,10,14,15,home
53,Susceptible,child,7,10,H_13,7,10,5,5,home
54,Susceptible,adult,7,10,H_13,7,10,18,15,home
55,Susceptible,child,7,10,H_13,7,10,15,15,home
56,Susceptible,adult,17,4,H_14,17,4,8,19,home
57,Susceptible,senior,17,4,H_14,17,4,11,8,home
58,Susceptible,adult,17,4,H_14,17,4,12,7,home
59,Vaccinated,child,17,4,H_14,17,4,15,15,home
60,Susceptible,child,10,11,H_15,10,11,15,15,home
61,Vaccinated,adult,10,11,H_15,10,11,1,13,home
62,Susceptible,adult,10,11,H_15,10,11,3,14,home
63,Susceptible,senior,10,11,H_15,10,11,14,0,home
64,Susceptible,adult,10,11,H_16,10,11,17,17,home
65,Susceptible,adult,10,11,H_16,10,11,13,1,home
66,Susceptible,senior,10,11,H_16,10,11,7,16,home
67,Susceptible,child,10,11,H_16,10,11,15,15,home
68,Susceptible,senior,1,8,H_17,1,8,19,7,home
69,Susceptible,senior,1,8,H_17,1,8,7,15,home
70,Vaccinated,senior,1,8,H_17,1,8,4,3,home
71,Susceptible,adult,1,8,H_17,1,8,19,18,home
72,Susceptible,adult,7,5,H_18,7,5,19,14,home
73,Susceptible,child,7,5,H_18,7,5,15,15,home
74,Susceptible,child,7,5,H_18,7,5,15,15,home
75,Susceptible,adult,7,5,H_18,7,5,6,11,home
76,Susceptible,senior,16,8,H_19,16,8,4,16,home
77,Susceptible,adult,16,8,H_19,16,8,11,14,home
78,Susceptible,adult,16,8,H_19,16,8,19,6,home
79,Susceptible,adult,16,8,H_19,16,8,0,1,home
80,Susceptible,adult,6,1,H_20,6,1,0,10,home
81,Susceptible,adult,6,1,H_20,6,1,9,18,home
82,Susceptible,adult,6,1,H_20,6,1,4,2,home
83,Susceptible,child,6,1,H_20,6,1,5,5,home
84,Susceptible,adult,4,1,H_21,4,1,2,11,home
85,Susceptible,adult,4,1,H_21,4,1,4,7,home
86,Susceptible,adult,4,1,H_21,4,1,6,0,home
87,Susceptible,child,4,1,H_21,4,1,5,5,home
88,Susceptible,senior,17,12,H_22,17,12,5,0,home
89,Susceptible,adult,17,12,H_22,17,12,6,6,home
90,Susceptible,adult,17,12,H_22,17,12,2,10,home
91,Vaccinated,adult,17,12,H_22,17,12,2,14,home
92,Vaccinated,adult,5,10,H_23,5,10,0,14,home
93,Vaccinated,child,5,10,H_23,5,10,15,15,home
94,Susceptible,child,5,10,H_23,5,10,5,5,home
95,Susceptible,adult,5,10,H_23,5,10,2,13,home
96,Susceptible,adult,18,9,H_24,18,9,15,9,home
97,Vaccinated,senior,18,9,H_24,18,9,4,3,home
98,Susceptible,adult,18,9,H_24,18,9,14,2,home
99,Susceptible,adult,18,9,H_24,18,9,5,2,home
